never talk to me again,3
I am proud of your achievements,2
It is the worst day in my life,3
Miss you so much,0
food is life,4
I love you mum,0
Stop saying bullshit,3
congratulations on your acceptance,2
The assignment is too long ,3
I want to go play,1
she did not answer my text ,3
Your stupidity has no limit,3
how many points did he score,1
my algorithm performs poorly,3
I got approved,2
Stop shouting at me,3
Sounds like a fun plan ha ha,2
no one likes him,3
the game just finished,1
I will celebrate soon,2
So sad you are not coming,3
She is my dearest love,0
Good job,2
It was funny lol,2
candy is life ,2
The chicago cubs won again,1
I am hungry,4
I am so excited to see you after so long,2
you did well on you exam,2
lets brunch some day,4
he is so cute,0
How dare you ask that,3
do you want to join me for dinner ,4
I said yes,2
she is attractive,0
you suck,3
she smiles a lot,2
he is laughing,2
she takes forever to get ready ,3
French macaroon is so tasty,4
we made it,2
I am excited,2
I adore my dogs,0
Congratulations,2
this girl was mean,3
you two are cute,0
my code is working but the grader gave me zero,3
this joke is killing me haha,2
do you like pizza ,4
you got a down grade,3
I missed you,0
I think I will end up alone,3
I got humiliated by my sister,3
you are awful,3
I cooked meat,4
This is so funny,2
lets exercise,1
he is the best player,1
I am going to the stadium,1
You are incredibly intelligent and talented,2
Stop shouting at me,3
Who is your favorite player,1
I like you a lot,0
i miss him,0
my dog just had a few puppies,0
I hate him,3
I want chinese food,4
cookies are good,4
her smile is so charming,2
Bravo for the announcement it got a lot of traction,2
she plays baseball,1
he did an amazing job,2
The baby is adorable,0
I was waiting for her for two hours ,3
funny,2
I like it when people smile,2
I love dogs,0
they are so kind and friendly,0
So bad that you cannot come with us,3
he likes baseball,1
I am so impressed by your dedication to this project,2
I am at the baseball game,1
Bravo,2
What a fun moment,2
I want to have sushi for dinner,4
I am very disappointed,3
he can not do anything,3
lol,2
Lets have food together,4
she is so cute,0
miss you my dear,0
I am looking for a date,0
I am frustrated,3
I lost my wallet,3
you failed the midterm,3
ha ha ha it was so funny,2
Do you want to give me a hug,0
who is playing in the final,1
she is happy,2
You are not qualified for this position,3
I love my dad,0
this guy was such a joke,2
Good joke,2
This specialization is great,2
you could not solve it,3
I am so happy for you,2
Congrats on the new job,2
I am proud of you forever,2
I want to eat,4
That catcher sucks ,1
The first base man got the ball,1
this is bad,3
you did not do your homework,3
I will have a cheese cake,4
do you have a ball,1
the lectures are great though ,2
Are you down for baseball this afternoon,1
what are the rules of the game,1
I am always working,3
where is the stadium,1
She is the cutest person I have ever seen,0
vegetables are healthy,4
he is handsome,0
too bad that you were not here,3
you are a loser,3
I love indian food,4
Who is down for a restaurant,4
he had to make a home run,1
I am ordering food,4
What is wrong with you,3
I love you,0
great job,2
that is a cute dog,0
I will miss you so much,0
He is a kind and good friend,0
what a lovely song,0
that handsome man is attracitve,0
my dear dad and mum,0
I love my family and friends,0
the lovely person hugged me,0
miss you grandmother,0
The best date I ever had,0
I hugged the cute baby,0
he missed her lot,0
I will see you on date tonight,0
I have a present for you dear,0
the lovely person I saw tonight,0
I had dinner with my family,0
go play basketball,1
the players in the staduim,1
lets run to see the favorite game,1
the final match,1
do exercise before the game begins,1
I want to do sports,1
he scored many points,1
he is a great baseball player,1
chicago won the match,1
I know basketball rules,1
There are many balls in the staduim,1
he has to practice and run,1
the man ran to finish the game,1
he throwed the ball,1
this afternoon the first match begins,1
that baseball team sucks,1
he got the ball,1
lets get and bring the balls,1
the staduim was full of fans,1
the players were all running,1
exercise is the key to health,1
I failed the exam and never pass it,3
I eat healthy macaroon,4
a brunch of tasty vegetable,4
I did not eat lunch and am starving,4
the restaurant had good rice and meat,4
I want dinner,4
hungry and like pizze,4
I ordered french cookies,4
my suggestion is cake,4
I love this restaurant and eat there frequently,4
lets have food in this restaurant,4
I cannot be hungry,4
what do we have for dinner,4
the tasty lunch I had was sushi,4
join us for food,4
healthy food is not what I love,4
the best food I ate in my life,4
I want rice and macaroon tonight,4
boiling rice is very tasty,4
we will go to restaurant together,4
my dad cooked a tasty pizza last night,4
she cooked a healthy food for us,4
last night we were starving,4
cheese and vegetable are more healthy than meat,4
